v;Uncertainty MC Dropout;Uncertainty JCGM 2008;difference 
0;0.139;0.097;0.042
1;0.089;0.016;0.073
2;0.075;0.027;0.048
3;0.143;0.035;0.108
4;0.099;0.057;0.041
5;0.110;0.112;-0.002
6;0.140;0.038;0.102
7;0.083;0.171;-0.089
8;0.096;0.112;-0.016
9;0.079;0.089;-0.010
10;0.108;0.071;0.038
11;0.092;0.114;-0.022
12;0.091;0.130;-0.039
13;0.134;0.021;0.113
14;0.117;0.088;0.029
15;0.125;0.043;0.082
16;0.089;0.101;-0.012
17;0.223;0.036;0.188
18;0.129;0.048;0.080
19;0.161;0.143;0.018
20;0.196;0.085;0.111
21;0.155;0.074;0.081
22;0.161;0.044;0.117
23;0.206;0.071;0.135
24;0.148;0.051;0.098
25;0.125;0.056;0.069
26;0.119;0.039;0.081
27;0.179;0.097;0.081
28;0.095;0.115;-0.019
29;0.110;0.036;0.074
30;0.118;0.055;0.063
